## Extracted pulses
# string om time[ns] charge[pe]
28 50 17258.416643988156 1.0283645391464233
28 51 16819.725764985353 0.815175473690033
28 51 18080.515637746586 1.1251764297485352
28 54 16377.349752369018 0.48160678148269653
28 55 16352.98551740256 0.6544000506401062
28 55 16384.65949396986 0.7789869904518127
28 56 16477.75964672361 0.7853462100028992
29 46 17049.984529303518 0.9216361045837402
29 47 17585.59843967329 0.8710225224494934
29 48 17932.804385803367 1.0020807981491089
29 49 17156.515831528868 0.3871007263660431
29 49 17192.336325964166 0.8942517042160034
29 50 17181.225688010796 0.9161527156829834
29 51 16334.04777352484 1.122704029083252
29 51 16812.096890684283 1.1041758060455322
29 51 18837.096890684283 0.6803551316261292
29 55 17306.63166255689 1.1688672304153442
29 57 16613.125155523714 1.024277925491333
29 57 17707.14954696294 1.4687392711639404
29 58 16042.308754835121 1.8392173051834106
29 58 16071.48356446788 0.15040571987628937
29 58 16218.191178620978 0.9434646964073181
29 58 16769.977295769866 1.4018871784210205
29 58 18113.727295769866 1.1777480840682983
30 38 17707.593407089546 0.4540351629257202
30 39 17458.968548299796 1.258212924003601
30 42 17163.351223562317 1.1148407459259033
30 43 16565.53732018655 1.6388955116271973
30 44 16685.71693111095 0.9461772441864014
30 46 16049.44043500636 0.9967639446258545
30 46 16537.578390992116 1.1171197891235352
30 46 16631.328390992116 1.5073634386062622
30 47 16476.8473072494 1.060097575187683
30 48 16408.086115939128 0.42781561613082886
30 49 16465.33445284913 0.39088693261146545
30 49 17290.071386277752 0.6657009124755859
30 50 16109.268540338286 0.49998295307159424
30 50 16115.932175771224 1.7896571159362793
30 50 16129.259446637101 1.1015479564666748
30 50 16418.294633541074 0.9365513324737549
30 50 16444.949175272886 0.1378282755613327
30 50 16857.487363541823 3.02634859085083
30 50 18119.987363541823 1.254542589187622
30 51 16244.562049133176 0.9349373579025269
30 51 16672.54479908198 1.5685940980911255
30 51 17916.29479908198 0.8410800099372864
30 52 15679.33916990723 0.5701033473014832
30 52 16279.798373816733 0.7986258268356323
30 52 17248.54837381673 1.0870132446289062
30 52 17911.04837381673 0.6185899376869202
30 53 16055.169482152778 0.703374981880188
30 53 16782.40905163315 0.7613979578018188
30 53 16988.65905163315 1.2136369943618774
30 53 17113.65905163315 1.9970697164535522
30 53 21376.15905163315 1.47010338306427
30 54 16286.616989383045 0.7470725178718567
30 54 16604.064262735228 1.2468831539154053
30 54 17166.92725242194 1.3288254737854004
30 55 15900.520795656112 0.7886167168617249
30 55 16062.206608687438 0.7128285765647888
30 55 16112.212530243518 1.1811463832855225
30 55 16138.882355073425 0.52875155210495
30 55 16490.166400722985 1.9952858686447144
30 56 15959.295465530851 1.1419763565063477
30 56 15982.628526751696 0.4873688817024231
30 56 16240.125523795961 0.14102138578891754
30 56 16250.125407176323 0.7904537916183472
30 56 16268.458526706987 0.5730249881744385
30 56 16461.542318685668 0.7995834946632385
30 56 16805.292318685668 1.282944917678833
30 56 17780.292318685668 0.6755066514015198
30 57 16226.022391209432 0.7859472632408142
30 57 16303.510789725962 0.9128917455673218
30 57 16470.152506965813 0.8457901477813721
30 57 16692.996674086757 1.3069064617156982
30 57 17524.246674086757 0.9270703792572021
30 58 15892.457636333314 1.321435570716858
30 58 16549.26128865019 2.0312445163726807
30 58 17386.76128865019 0.8055660128593445
30 58 17680.51128865019 1.1838061809539795
30 58 18561.76128865019 1.6066333055496216
30 58 19499.26128865019 1.480765461921692
30 59 15727.368124695851 0.8794494867324829
30 59 15757.36423473378 1.089992880821228
30 59 15880.681576000668 1.4212476015090942
30 59 16354.849108088078 1.6364728212356567
30 59 16661.099108088078 0.9260131120681763
30 59 19667.349108088078 0.831991970539093
36 50 17333.944580284293 1.011878490447998
36 51 17231.661985395607 1.5910636186599731
37 47 18347.833990033872 0.5519664287567139
37 49 19152.36965150998 0.2979890704154968
37 50 16672.18775714512 1.4198315143585205
37 50 16690.446934113457 0.6607082486152649
37 50 17571.696934113457 0.7880507707595825
37 51 16569.676976423558 1.0017918348312378
37 53 17148.981767863173 1.091530680656433
37 53 18134.78463729943 0.861163854598999
37 53 25617.193217472963 1.1357498168945312
37 55 16816.28689076111 0.6452704071998596
37 55 17921.921640952896 8.701306343078613
37 55 18015.671640952896 0.6696913838386536
37 55 24831.019797609762 1.431193470954895
37 55 28316.24026395924 1.3834325075149536
37 56 16575.940937142135 0.46721842885017395
37 56 17133.022928615726 1.220872163772583
37 56 18508.022928615726 1.1377358436584473
37 57 17116.94538578599 0.5920608043670654
37 57 17591.76176338001 0.6720941066741943
37 58 16719.38240809924 1.0293296575546265
37 59 17687.57804610294 0.8845894932746887
37 59 19432.849355633014 1.061048984527588
37 60 16772.454151708687 0.2976606786251068
37 60 16803.294196877738 1.4459995031356812
38 43 17061.873635539007 0.9942824244499207
38 44 17057.3369093773 0.468532919883728
38 45 15675.473019270978 0.9115822911262512
38 45 16840.010818875027 1.0221660137176514
38 46 16217.686628804639 1.2515355348587036
38 46 16437.606918277284 1.0990501642227173
38 46 18553.77106000034 1.023236632347107
38 47 16267.015278727153 0.38988780975341797
38 47 16936.62565206099 1.5219262838363647
38 47 17349.12565206099 0.8386071920394897
38 47 18592.87565206099 1.0518407821655273
38 47 19280.37565206099 0.7229384779930115
38 48 16010.518565865066 1.3814889192581177
38 48 16378.704113241427 0.2228473573923111
38 49 15630.249695439103 0.9028430581092834
38 49 16403.313754985033 1.4942002296447754
38 49 16603.313754985033 0.614171028137207
38 50 16186.655510889603 1.2944077253341675
38 51 16716.218619556526 0.6065130829811096
38 51 16927.116117783673 0.35581302642822266
38 52 15917.730796887283 1.8886719942092896
38 52 16020.233191088662 0.7571229934692383
38 52 16505.360127336222 1.75446355342865
38 52 16567.860127336222 0.7984017133712769
38 52 18442.860127336222 0.7849394083023071
38 52 19317.860127336222 0.809453010559082
38 53 17014.423678623785 1.0865652561187744
38 53 17397.849688887738 0.4593408703804016
38 54 16666.91273706389 0.9841994047164917
38 54 16682.7528918826 1.0703123807907104
38 54 16690.256123112515 0.20713061094284058
38 55 15703.105734386369 0.6187922358512878
38 55 16269.5593880662 0.7266879081726074
38 55 16382.0593880662 1.1262760162353516
38 56 15774.866069633448 1.131166934967041
38 56 15998.149763862706 0.9259240031242371
38 56 16065.634760999163 0.4247777462005615
38 56 16104.79272230056 0.9228953123092651
38 56 16244.521533227038 1.2660937309265137
38 56 16394.521533227038 0.7928547859191895
38 56 16600.771533227038 1.2323633432388306
38 57 15675.338851172108 0.8497808575630188
38 57 15793.661444016412 1.1149623394012451
38 57 15993.64329107721 0.7271630167961121
38 57 16261.936984628588 1.9909923076629639
38 57 16905.686984628588 1.053484320640564
