DEC,RA
-17.519467655231914,194.634862748704
-17.59401815372417,194.48144792265734
-17.713334464244213,194.23087166895692
-17.795850673857156,194.05414853612967
-17.916097895557836,193.82688051140866
-17.99769939884962,193.65164889492712
-18.086062278630433,193.42291064394166
-18.199479203629224,193.08662763934075
-18.226330288899586,193.018959509095
-18.35816869300489,192.61501587239482
-18.401240180367157,192.4589087607703
-18.461560699155388,192.21108893104756
-18.543151233146716,191.8071746813249
-18.59669048445576,191.4032752077576
-18.60281636066518,191.35473492899666
-18.66957699577381,190.99936875077057
